recipe_id,carbs,dairy,meat,oil,sugar,veg,saucy,,,,,,,
239893,,4,2,,,1,1,Cheesy Chicken and Potato Soup,,,,,,
239999,1,2,1,,2,,,Apple Cider Oatmeal Cookies,,,,,,
240093,,,,1,1,2,,Mahi Mahi Ceviche,,,,,,
240097,,3,1,,,,,Smoked Salmon French Toast Sandwich,,,,,,
240112,,,1,,,,1,Pumpkin Pie Soup,,,,,,
240206,,,,1,,1,,Simple Broccolini,,,,,,
240312,,2,,,1,,,Cut-Out Sugar Cookies,,,,,,
240591,1,3,,1,1,,,"Vegan Chocolate Chip, Oatmeal, and Nut Cookies",,,,,,
240922,2,,,,1,1,,Sesame-Roasted Salmon,,,,,,
241041,,2,,,3,,,Baked Apple Cinnamon Rolls,,,,,,
241079,,,,1,,1,,Quick Pickled Pepper Onion Relish,,,,,,
241170,1,2,,,,,,Oatmeal Energy Bars,,,,,,
241372,1,,,,2,1,,Easy Baked BBQ Pork Chops,,,,,,
241399,,,1,1,,,,"Laura's ""Thin Mint"" Brownies",,,,,,
241607,1,,2,1,1,1,,Vietnamese Grilled Lemongrass Chicken,,,,,,
241658,,3,,,,2,,Twice Baked Cauliflower with Bacon,,,,,,
241894,,1,,,,,,Black Forest Trifle,,,,,,
241993,,1,,1,,2,,Eggplant Panini,,,,,,
241994,,2,,,1,1,,Baked Peaches 'n Cream,,,,,,
242092,,,,,1,,,Confectioners' Sugar,,,,,,
242411,,1,1,1,,2,1,Apple and Lentil Soup,,,,,,
242441,,,,1,,1,,Grilled Beef Fajitas,,,,,,
244219,,1,,1,,,,Grilled Beets with Feta,,,,,,
244251,1,1,,,1,1,,No-Cook Overnight Oatmeal,,,,,,
244464,,1,1,,,3,,Stuffed Scalloped (Patty Pan) Squash,,,,,,
244570,,,2,,,3,,Margarita Shrimp Salad from Swanson®,,,,,,
244718,,1,,,2,1,,Zucchini Bread Breakfast Pizza,,,,,,
245031,1,,,,1,,,Country-Style Honey Mustard,,,,,,
245160,1,1,,1,1,,,Maple Granola,,,,,,
245174,,5,1,,2,,,Peppermint Cupcakes with Marshmallow Fluff White Chocolate Frosting,,,,,,
245216,,,,,,2,,Pineapple Brown Sugar Glazed Ham,,,,,,
245262,1,1,,1,4,,,Gingerbread Granola Bars,,,,,,
245278,,,3,,,2,1,Chicken Posole Verde Soup,,,,,,
245303,1,1,,,2,,,Sweet Coconut Oatmeal,,,,,,
245406,,,1,,1,2,,Fried Brussels Sprouts,,,,,,
245662,,,,,,1,,Avocado-Tomatillo Dip with Jalapenos and Cilantro,,,,,,
245981,,,,1,1,1,,Korean BBQ Beef Tacos,,,,,,
246024,,3,,,,,,Gluten Free Spicy Mac & Cheese,,,,,,
246236,,1,,,1,,,Easy S'Mores Bars,,,,,,
246288,,2,,,2,2,,The Best Panna Cotta You Will Ever Have,,,,,,
246455,1,1,,,1,2,,Overnight Oats Blueberry Smoothie Bowl,,,,,,
246526,,,,1,2,2,,Grace Love's Smothered Steak,,,,,,
246563,1,2,,1,1,2,1,Curry Udon,,,,,,
254232,1,,2,1,1,3,,Authentic Thai Basil Chicken (Very Easy and Fast),,,,,,
254242,1,,,1,,3,,Lebanese Fattoush (Bread Salad),,,,,,
254484,,,,,1,1,1,Spring Strawberry Soup,,,,,,
254795,,,,,1,1,,Healthy Wild Blueberry Sauce,,,,,,
255020,,2,,,,,,Chef John's Potato Gnocchi,,,,,,
255111,,1,,,,,,Apricot Date Smoothie,,,,,,
255271,,4,,1,,,,Grown Up Mac & Cheese,,,,,,
255297,1,,1,,1,2,,Cashew Chicken Bake,,,,,,
255328,,1,,1,1,9,,Nayza's Mushroom Fiesta Cups,,,,,,
255601,,2,1,1,,1,,Vegetarian Quinoa Frittatas,,,,,,
255957,,1,1,,1,,,Glazed Apple Cider Cake,,,,,,
256095,,1,,,2,,,Stef's Slow Cooker Creme Brulee,,,,,,
256405,,1,2,1,,1,,Paleo Chicken Marsala,,,,,,
256655,,,,1,,1,,Cauliflower with Water Chestnuts and Black Olives,,,,,,
256856,,5,2,,2,,,Rosca de Reyes,,,,,,
258160,1,,3,1,,,,Chinese Pork Meatballs,,,,,,
258405,,1,,,,1,,Chia Pineapple Smoothie,,,,,,
258556,,,1,1,2,1,,Pressure Cooker Salsa Lime Chicken and Rice,,,,,,
258557,,,,1,1,3,,Aji (Colombian Salsa),,,,,,
258569,,1,1,1,,4,,Corned Beef Hash Arepas,,,,,,
258600,,2,1,,,1,1,Bacon & Cheddar Green Bean Casserole,,,,,,
258666,1,1,1,2,1,1,,Cobb Salad with Brown Derby French Dressing,,,,,,
258817,,,2,,,1,,Chicken Pasta with Artichoke Hearts,,,,,,
258831,,1,1,,1,3,,Make Ahead Cauliflower Salad,,,,,,
258952,2,,,,,2,,Sweet Potato Black Bean Burgers,,,,,,
259053,,4,,,2,,,Funfetti® Pancakes with Vanilla Cream Sprinkle Sauce,,,,,,
259286,,1,,1,,2,,Zucchini Noodle and Cannellini Bean Quinoa Bowl,,,,,,
259563,,3,,,1,,,Snickerdoodle-Crusted Apple Pie,,,,,,
260312,,1,,,,,,Christmas Santa Cupcakes,,,,,,
260469,,1,2,1,,4,,Chef John's Chicken Tinga,,,,,,
260679,,4,1,,2,,,Easy Coconut Sheet Cake,,,,,,
260682,1,1,1,,,1,1,Easy Slow Cooker Cauliflower Soup with Cheese,,,,,,
262355,1,1,,1,,1,,Breaded Tofu Nuggets,,,,,,
